number of epochs planned: 100
input data: slice_large_data.root
batch_size: 32
device: cuda
architecture: SetTransformer
Balancing classes
Splitting test and train events
Preprocessing test and train events
Train set pT bins: [(0,10),(10,15),(15,20),(20,1000)]:  [10602, 8017, 8690, 0]
Test set pT bins: [(0,10),(10,15),(15,20),(20,1000)]:  [4560, 3429, 3716, 0]
Prepping data loaders
Epoch: 053, Train Loss: 0.5824, Train Acc: 0.8356, Test Loss: 0.5832, Test Acc: 0.8249
Epoch: 054, Train Loss: 0.5817, Train Acc: 0.8374, Test Loss: 0.5832, Test Acc: 0.8267
Epoch: 055, Train Loss: 0.5822, Train Acc: 0.8348, Test Loss: 0.5834, Test Acc: 0.8238
Epoch: 056, Train Loss: 0.5820, Train Acc: 0.8360, Test Loss: 0.5825, Test Acc: 0.8285
Epoch: 057, Train Loss: 0.5819, Train Acc: 0.8363, Test Loss: 0.5825, Test Acc: 0.8320
Epoch: 058, Train Loss: 0.5816, Train Acc: 0.8360, Test Loss: 0.5822, Test Acc: 0.8273
Epoch: 059, Train Loss: 0.5815, Train Acc: 0.8355, Test Loss: 0.5822, Test Acc: 0.8303
Epoch: 060, Train Loss: 0.5815, Train Acc: 0.8375, Test Loss: 0.5825, Test Acc: 0.8248
Epoch: 061, Train Loss: 0.5811, Train Acc: 0.8375, Test Loss: 0.5817, Test Acc: 0.8275
Epoch: 062, Train Loss: 0.5814, Train Acc: 0.8351, Test Loss: 0.5822, Test Acc: 0.8262
Epoch: 063, Train Loss: 0.5810, Train Acc: 0.8379, Test Loss: 0.5822, Test Acc: 0.8257
Epoch: 064, Train Loss: 0.5810, Train Acc: 0.8358, Test Loss: 0.5818, Test Acc: 0.8285
Epoch: 065, Train Loss: 0.5813, Train Acc: 0.8368, Test Loss: 0.5822, Test Acc: 0.8257
Epoch: 066, Train Loss: 0.5808, Train Acc: 0.8385, Test Loss: 0.5817, Test Acc: 0.8306
Epoch: 067, Train Loss: 0.5810, Train Acc: 0.8359, Test Loss: 0.5822, Test Acc: 0.8245
Epoch: 068, Train Loss: 0.5809, Train Acc: 0.8360, Test Loss: 0.5819, Test Acc: 0.8279
Epoch: 069, Train Loss: 0.5804, Train Acc: 0.8384, Test Loss: 0.5814, Test Acc: 0.8267
Epoch: 070, Train Loss: 0.5804, Train Acc: 0.8368, Test Loss: 0.5812, Test Acc: 0.8278
Epoch: 071, Train Loss: 0.5807, Train Acc: 0.8358, Test Loss: 0.5818, Test Acc: 0.8279
Epoch: 072, Train Loss: 0.5803, Train Acc: 0.8381, Test Loss: 0.5820, Test Acc: 0.8248
Epoch: 073, Train Loss: 0.5806, Train Acc: 0.8353, Test Loss: 0.5815, Test Acc: 0.8282
Epoch: 074, Train Loss: 0.5802, Train Acc: 0.8380, Test Loss: 0.5811, Test Acc: 0.8287
Epoch: 075, Train Loss: 0.5800, Train Acc: 0.8379, Test Loss: 0.5809, Test Acc: 0.8289
Epoch: 076, Train Loss: 0.5804, Train Acc: 0.8362, Test Loss: 0.5812, Test Acc: 0.8255
Epoch: 077, Train Loss: 0.5801, Train Acc: 0.8370, Test Loss: 0.5814, Test Acc: 0.8281
Epoch: 078, Train Loss: 0.5800, Train Acc: 0.8377, Test Loss: 0.5813, Test Acc: 0.8254
Epoch: 079, Train Loss: 0.5801, Train Acc: 0.8381, Test Loss: 0.5817, Test Acc: 0.8267
Epoch: 080, Train Loss: 0.5800, Train Acc: 0.8372, Test Loss: 0.5807, Test Acc: 0.8319
Epoch: 081, Train Loss: 0.5800, Train Acc: 0.8373, Test Loss: 0.5808, Test Acc: 0.8292
Epoch: 082, Train Loss: 0.5800, Train Acc: 0.8365, Test Loss: 0.5808, Test Acc: 0.8272
Epoch: 083, Train Loss: 0.5798, Train Acc: 0.8377, Test Loss: 0.5809, Test Acc: 0.8245
Epoch: 084, Train Loss: 0.5801, Train Acc: 0.8366, Test Loss: 0.5806, Test Acc: 0.8260
Epoch: 085, Train Loss: 0.5802, Train Acc: 0.8360, Test Loss: 0.5809, Test Acc: 0.8266
Epoch: 086, Train Loss: 0.5798, Train Acc: 0.8367, Test Loss: 0.5810, Test Acc: 0.8306
Epoch: 087, Train Loss: 0.5797, Train Acc: 0.8377, Test Loss: 0.5807, Test Acc: 0.8265
Epoch: 088, Train Loss: 0.5797, Train Acc: 0.8368, Test Loss: 0.5812, Test Acc: 0.8292
Epoch: 089, Train Loss: 0.5796, Train Acc: 0.8371, Test Loss: 0.5807, Test Acc: 0.8266
Epoch: 090, Train Loss: 0.5794, Train Acc: 0.8388, Test Loss: 0.5809, Test Acc: 0.8311
Epoch: 091, Train Loss: 0.5794, Train Acc: 0.8372, Test Loss: 0.5804, Test Acc: 0.8291
Epoch: 092, Train Loss: 0.5794, Train Acc: 0.8382, Test Loss: 0.5805, Test Acc: 0.8290
Epoch: 093, Train Loss: 0.5796, Train Acc: 0.8369, Test Loss: 0.5811, Test Acc: 0.8257
Epoch: 094, Train Loss: 0.5790, Train Acc: 0.8382, Test Loss: 0.5803, Test Acc: 0.8283
Epoch: 095, Train Loss: 0.5793, Train Acc: 0.8370, Test Loss: 0.5809, Test Acc: 0.8288
Epoch: 096, Train Loss: 0.5789, Train Acc: 0.8388, Test Loss: 0.5807, Test Acc: 0.8269
Epoch: 097, Train Loss: 0.5790, Train Acc: 0.8381, Test Loss: 0.5805, Test Acc: 0.8299
Epoch: 098, Train Loss: 0.5794, Train Acc: 0.8373, Test Loss: 0.5805, Test Acc: 0.8271
Epoch: 099, Train Loss: 0.5790, Train Acc: 0.8377, Test Loss: 0.5816, Test Acc: 0.8309
